[DEBUG][{2021-04-02 16:48:23,244][org.apache.ibatis.transaction.jdbc.JdbcTransaction]org.apache.ibatis.transaction.jdbc.JdbcTransaction.setDesiredAutoCommit(JdbcTransaction.java:100)Setting autocommit to false on JDBC Connection [com.mysql.jdbc.JDBC4Connection@62fdb4a6]
[DEBUG][{2021-04-02 16:48:23,254][com.mf.dao.UserMapper.getUserByLimit]org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(BaseJdbcLogger.java:143)==>  Preparing: select * from mybatis.tb_user limit ?,? 
[DEBUG][{2021-04-02 16:48:23,301][com.mf.dao.UserMapper.getUserByLimit]org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(BaseJdbcLogger.java:143)==> Parameters: 0(Integer), 2(Integer)
[DEBUG][{2021-04-02 16:48:23,329][com.mf.dao.UserMapper.getUserByLimit]org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(BaseJdbcLogger.java:143)<==      Total: 2
[DEBUG][{2021-04-02 16:48:23,330][org.apache.ibatis.transaction.jdbc.JdbcTransaction]org.apache.ibatis.transaction.jdbc.JdbcTransaction.resetAutoCommit(JdbcTransaction.java:122)Resetting autocommit to true on JDBC Connection [com.mysql.jdbc.JDBC4Connection@62fdb4a6]
[DEBUG][{2021-04-02 16:48:23,331][org.apache.ibatis.transaction.jdbc.JdbcTransaction]org.apache.ibatis.transaction.jdbc.JdbcTransaction.close(JdbcTransaction.java:90)Closing JDBC Connection [com.mysql.jdbc.JDBC4Connection@62fdb4a6]
[DEBUG][{2021-04-02 16:48:23,333][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.pushConnection(PooledDataSource.java:381)Returned connection 1660794022 to pool.
[DEBUG][{2021-04-02 16:58:57,246][org.apache.ibatis.logging.LogFactory]org.apache.ibatis.logging.LogFactory.setImplementation(LogFactory.java:105)Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][{2021-04-02 16:58:57,256][org.apache.ibatis.logging.LogFactory]org.apache.ibatis.logging.LogFactory.setImplementation(LogFactory.java:105)Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][{2021-04-02 16:58:57,286][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
